DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OK,16,186297.9375,39202.4375,34758.3125
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",DC,17,228778.7059,46264.23529,40683.23529
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OR,18,137392.7222,47899.5,44557.94444
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WV,19,209113.579,65613.31579,49000.1579
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AR,20,101099.9,30355.2,28638.25
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KS,21,244036.3333,43982.14286,36621.61905
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IA,22,103288.7273,38047.68182,34650.27273
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CO,23,184380.4783,39930.69565,31818.3913
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WA,26,199240.6539,55950.92308,48339.92308
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NJ,29,178836.7241,42234,39084.13793
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CT,31,175283.129,49457.87097,42626.03226
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AZ,32,181961.8125,48733.9375,42193.40625
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",WI,32,138477.125,48225.71875,30100.40625
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",AL,35,154519.4571,33180.4,27150.14286
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",KY,35,164021.3714,42251.6,35879.85714
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",LA,37,146342.7568,45924.35135,40523.13514
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MN,37,149854.6216,45814.94595,41983.45946
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IN,42,124908.0238,35395.97619,32660.66667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",SC,45,196134.9333,57518.71111,47173.48889
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MD,46,70784.32609,65226.45652,64228.80435
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MO,53,134563.3585,38294.16981,35629.26415
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",VA,58,170654.6207,48093.53448,37940.05172
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MA,60,154957.1167,54557.93333,48390
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",GA,61,160155.5082,40680.04918,38324.09836
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",TN,67,168121.5075,39259.46269,36041.91045
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",MI,73,150524.589,51007.10959,43400.36986
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NC,76,133190.7105,43091.46053,35927.85526
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",OH,82,147176.1707,40157.57317,35525.70732
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",IL,85,170614.2706,46666.63529,38290.49412
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",NY,96,225532.6146,59553.91667,53748.58333
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",PA,98,225693.4082,42815.95918,37425.2449
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",FL,114,201657.4561,36001.23684,33345.47368
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",TX,124,171708.879,37248.55645,32775.45968
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",CA,126,393957.0556,67525.63492,62251.76191
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NE,12,91993.58333,23788,18666.58333
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OR,13,174635.1539,55498.69231,36270.84615
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",UT,13,70252.76923,27391.53846,24337.15385
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",DC,14,178985.2143,34393.21429,29360.64286
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",IA,15,88772.46667,28081.86667,26385.86667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CO,17,207204.3529,31524.58824,27743.11765
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WV,17,130387.1177,34713.29412,30923.58824
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CT,18,118381.7778,35691.66667,28927.44444
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AR,19,62294.68421,24825.84211,22249.42105
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OK,19,291253.3158,35056.42105,27215.68421
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NJ,22,145587.2273,32858.59091,28265.27273
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MS,24,90471.54167,28217.91667,24154.66667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AZ,29,147491.8966,38745.93103,27774.06897
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",KS,32,152505.1875,26426.75,22387.46875
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",SC,32,146349.75,37802.40625,33458.78125
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WA,33,147819.6667,37232.60606,30473.51515
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",WI,35,113566.2286,31618.02857,23125.02857
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",AL,36,135058.8333,24954.66667,19631.75
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MN,38,81204.57895,33178.02632,29220.57895
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",LA,44,132751.2046,32266.22727,27615.38636
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",VA,46,116123.0652,30776.78261,22075.6087
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",IN,47,137153.9787,29488.74468,22848.7234
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",KY,48,127460.7083,30029.54167,24889.0625
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MD,48,76191.47917,70520.72917,65128.70833
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",TN,57,152886.9298,28851.12281,25495.17544
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MO,62,111280.5968,26030.59677,24095.1129
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",OH,62,141348.9677,30154.29032,24536.79032
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MA,64,116893.0313,39384.03125,37117.35938
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",MI,72,103059.9306,30752.69444,26102.70833
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NC,78,111577.6026,33382.66667,24425.41026
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",TX,87,141327.6207,31482.06897,25251.50575
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",IL,88,130360.0114,34442.85227,25706.84091
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",PA,91,214697.8901,33205.86813,25235.41758
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",GA,96,133934.9688,31244.6875,23749.44792
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",FL,103,177774.3592,28630.79612,25018.3301
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",NY,108,175434.5741,42154.05556,34456.26852
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",CA,126,285640.4048,51710.64286,41370.11111
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",IA,12,45909.33333,17274.16667,15122.16667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",KS,12,103670.25,15490.58333,14510.58333
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",OK,13,118741.6154,17395.07692,14169
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",IN,14,96461.28571,14930.64286,13493.35714
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",LA,14,101163.4286,23384.35714,19524.85714
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MN,14,55862.42857,21085.35714,18791.71429
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",TN,16,78985.1875,16384.4375,12545.75
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MI,18,44249.16667,17438.44444,15461.77778
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",OH,18,91101.88889,18974.72222,16026.27778
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",GA,20,77374.1,17927.15,16175.25
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",KY,20,68043.35,16927.45,15253.75
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MA,20,72550.5,23434.65,21303.6
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",AL,21,97403.61905,16110.28571,13033.38095
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",MO,21,71499.66667,15795.57143,14346.14286
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",VA,21,79021.61905,21602,14658.76191
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",IL,24,66232.20833,19037.45833,16822.66667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",CA,28,174661.5,37021.39286,23583.92857
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",NC,30,68124,19006.66667,14652.73333
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",NY,30,82417.46667,22897.56667,18372.66667
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",TX,35,73882.28571,18308.68571,14259.08571
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",FL,36,137072.6389,17726.25,15255.61111
"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",PA,46,116124.4783,21298.86957,16102.86957
ALLOGENEIC BONE MARROW TRANSPLANT,IN,11,479414.6364,107544.2727,99229.09091
ALLOGENEIC BONE MARROW TRANSPLANT,SC,11,210422,93035.27273,83446.72727
ALLOGENEIC BONE MARROW TRANSPLANT,CT,14,252848.9286,136297.8571,90425.14286
ALLOGENEIC BONE MARROW TRANSPLANT,VA,14,379676.1429,115978.4286,102494.2143
ALLOGENEIC BONE MARROW TRANSPLANT,FL,16,391995.9375,92162.8125,79357.5
ALLOGENEIC BONE MARROW TRANSPLANT,WA,18,503424.8333,232492.8333,116951
ALLOGENEIC BONE MARROW TRANSPLANT,CO,19,668979.1579,118494.3684,94506.10526
ALLOGENEIC BONE MARROW TRANSPLANT,KY,19,464410.0526,115379.4737,95926.05263
ALLOGENEIC BONE MARROW TRANSPLANT,OR,19,248450.9474,119010.7368,101829.0526
ALLOGENEIC BONE MARROW TRANSPLANT,UT,19,440009.4211,142801.6316,135000.5263
ALLOGENEIC BONE MARROW TRANSPLANT,KS,20,463835.05,91798.65,60188.15
ALLOGENEIC BONE MARROW TRANSPLANT,GA,25,324243.64,104375.08,88624.64
ALLOGENEIC BONE MARROW TRANSPLANT,OH,27,468465.6296,109338.7407,97998.74074
ALLOGENEIC BONE MARROW TRANSPLANT,WI,27,311133.2593,105161.6296,92071.85185
ALLOGENEIC BONE MARROW TRANSPLANT,NC,30,362649.4333,110457.2,96271.3
ALLOGENEIC BONE MARROW TRANSPLANT,AZ,32,394215.25,111848.625,88857
ALLOGENEIC BONE MARROW TRANSPLANT,MN,33,354884.4546,139336.6667,94452.09091
ALLOGENEIC BONE MARROW TRANSPLANT,NJ,33,449939.8182,106580.3939,100834.303
ALLOGENEIC BONE MARROW TRANSPLANT,TN,35,329040.0857,90659.45714,82217
ALLOGENEIC BONE MARROW TRANSPLANT,TX,38,480241.9211,116401.3158,81477.02632
ALLOGENEIC BONE MARROW TRANSPLANT,MO,39,324509.6923,96178,92282.20513
ALLOGENEIC BONE MARROW TRANSPLANT,MD,46,129473.087,119308.2174,117426.587
ALLOGENEIC BONE MARROW TRANSPLANT,MI,48,359444.5208,115479.4792,109750.6042
ALLOGENEIC BONE MARROW TRANSPLANT,NY,50,540693.1,150012.8,125740.02
ALLOGENEIC BONE MARROW TRANSPLANT,PA,51,577330.3333,133720.1569,101142.3529
ALLOGENEIC BONE MARROW TRANSPLANT,IL,55,419193.4,136669,101919.2
ALLOGENEIC BONE MARROW TRANSPLANT,MA,66,420941.7727,144584.303,136638.6818
ALLOGENEIC BONE MARROW TRANSPLANT,CA,77,766915.1039,168592.1948,152626.6753
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,CT,15,232149.8,82297.46667,45257.4
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,DC,16,227385.4375,81548.25,54696.625
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,KY,16,203052.375,51061.1875,44195.6875
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NH,17,157284.5882,59869.82353,56146.23529
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MD,19,70649.52632,65103.05263,64064.10526
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NE,20,231621.35,56448.95,50714.1
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,OK,24,308932.4167,55222.16667,45622.41667
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,SC,25,119700.16,48048.44,43629.68
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,LA,27,339899.5556,59603.37037,47138.59259
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,IA,29,251912.3103,60899.13793,53446
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,AL,30,286324.9333,55684.3,39842.33333
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,OR,30,174656.9667,67389.63333,55045.2
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,UT,30,177528.2333,60646.43333,50206.23333
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,IN,32,219038.4063,52634.65625,47520.40625
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,TN,38,188253.8421,39795.57895,36656.92105
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,WA,39,257825.8205,75656.92308,57806.58974
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MN,42,118264.2619,57316.76191,46385.11905
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,CO,43,310596.4651,52070.48837,43585.51163
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,KS,48,278407.0208,44807.75,40303.83333
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,VA,51,340918.7647,82892,66121.92157
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,AR,52,193274.0769,59414.38462,51100.13462
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,FL,53,226345.6604,63001.75472,42598.09434
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MA,58,261912.069,76295.24138,65051.7069
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,OH,61,209475.7377,49507.55738,44008.21312
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MO,67,194036.3284,51258.71642,48289.83582
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NC,68,171104.2794,56498.36765,42530.70588
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,AZ,77,168679.5195,54297.61039,42030.19481
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,WI,81,168518.7531,54588.4321,45744.5679
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,MI,84,181294.0238,56854.4881,52941.57143
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,GA,86,145119.9651,55301.02326,43078.01163
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NJ,88,206976.4091,56097.04546,49437.71591
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,TX,118,289880.1017,50954.92373,41257.39831
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,IL,136,191055.8677,64017.76471,48184.41177
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,NY,139,304650.6187,81283.14389,64070.61151
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,PA,146,310015.4726,71670.64384,52342.21233
AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,CA,147,407866,84618.94558,71602.44218
AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,PA,12,276598.5,63033.66667,35978.16667
AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,AZ,13,68129.92308,25241.46154,21970.38462
AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,SC,14,73478.57143,28630.07143,26172.21429
AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,MN,17,139642.7059,38367.23529,31677.41177
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,IA,11,208449.3636,77741.81818,75468.27273
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,KS,11,341351.1818,64064,62872.72727
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,LA,11,414656.6364,90825,69491.09091
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,HI,12,256271.75,108527.3333,74203
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,AR,13,222909.8462,64011.53846,59928.07692
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,DE,13,218393.9231,85314.23077,82411.15385
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,ME,13,185705.1539,77313.76923,66077.84615
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MS,13,259911.8462,70465.07692,63072.38462
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,OR,15,285099.4,106340.2,101601.8667
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,KY,18,353003.2222,73468.61111,64729.61111
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MD,18,122745.7778,113092.2778,112149.6111
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,UT,18,274043.7222,95511.5,88722.55556
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,CT,22,326813.1818,90252.40909,82313.59091
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,AL,25,356092.28,67574.36,62784.2
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,SC,25,341239.8,81212.6,72202.2
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,WI,26,376319.4231,97059.23077,89422.92308
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,AZ,27,360402.2593,74504.88889,70415.77778
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,IN,27,338192.963,75890.48148,64087.33333
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,CO,31,548589.7419,80204.29032,72363.45161
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,OK,31,446185.4516,78302.64516,63923.06452
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,NJ,36,458008.8611,82331.69444,75339.30556
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,GA,39,339141.2821,99672.30769,70728.71795
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MN,39,241087.4103,85587.30769,78235.74359
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,TN,40,301647.2,66609.675,57098.675
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MA,41,273342.9024,102278.9268,96264.39024
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,VA,44,353874.9546,95183.47727,73019.88636
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,WA,47,426536.3617,103759.5106,91669.2766
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MO,48,320461.1667,69183.95833,66280.625
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,OH,50,343351.4,85046.12,65991.66
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,MI,53,262348.4906,79104.75472,75125.03774
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,NC,53,259350.4151,78626.64151,65638.66038
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,NY,61,370207.7869,98944.73771,90764.96721
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,IL,65,355208.4615,85389.52308,76172.12308
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,PA,69,532515.2319,91910.98551,76201.75362
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,FL,91,371849.7802,68999.64835,63686.61539
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,TX,106,390709.1226,82324.93396,65630.15094
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,CA,168,669944.3571,116830.1429,106936.4941
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,IN,12,204885.6667,65905.25,44414.08333
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,MI,12,199237.5833,57082.83333,53895.25
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,MN,12,199906.0833,58846.5,47944.91667
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,PA,13,408905.3077,72915.30769,54095.61539
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,NC,16,173379.625,54659.3125,48977.8125
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,NJ,16,354152.125,66170,54087.8125
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,TX,16,251049.1875,49395.6875,40605.875
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,VA,18,218146.7222,53049.88889,48444.88889
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,IL,20,233176.35,88077.25,50021.75
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,FL,25,287318.72,63107.24,45047.52
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,CA,26,475563.9231,80055.57692,71664
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,NY,27,267731.1852,69883.14815,63885.77778
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,MT,12,119235.3333,34634.5,33202.16667
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,VT,12,131464.75,54953.41667,38737
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,HI,25,136227.2,57841.52,45559.56
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,SD,28,160451.7143,39447.53571,32685.78571
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,NM,40,88399.25,43437.775,40581.725
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,DE,46,146538.6957,53333.71739,42830.82609
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,NH,47,154560.9149,49704.70213,47035.80851
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,ID,48,139774.1875,39317.58333,35855.45833
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,ME,49,125299.8367,46455.20408,42252.02041
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,UT,52,111500.8269,44236.90385,37777.59615
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,ND,53,114970.7736,41866.37736,32045.43396
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,NE,55,141958.0727,38533.61818,34705.14546
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,RI,56,121467.9643,45701,40960.19643
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,WV,69,115279.2174,37604.73913,34125.34783
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,NV,74,264903.7027,38503.97297,34345.87838
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,KS,78,185527.6026,36194.91026,32477.57692
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,DC,80,225957.5,50996.7625,43206.075
CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHE,AR,90,124592.4778,32112.84444,29326.71111
